,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
202,ASG,"Liberty All-Star Growth Fund, Inc.",Financial,Closed-End Fund - Equity,USA,155480000,-,5.63,-1.05%,"139,180"
203,ASGN,ASGN Incorporated,Services,Staffing & Outsourcing Services,USA,3390000000,22.37,65.35,-2.39%,"186,825"
204,ASH,Ashland Global Holdings Inc.,Basic Materials,Chemicals - Major Diversified,USA,4920000000,98.28,78.72,-0.67%,"446,012"
208,ASIX,AdvanSix Inc.,Basic Materials,Chemicals - Major Diversified,USA,863880000,14.30,29.83,-0.83%,"227,876"
209,ASM,Avino Silver & Gold Mines Ltd.,Basic Materials,Silver,Canada,37700000,21.85,0.59,2.88%,"192,138"
210,ASPN,"Aspen Aerogels, Inc.",Industrial Goods,General Building Materials,USA,68400000,-,2.87,-1.71%,"16,100"
211,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Services,"Air Services, Other",Mexico,4890000000,19.18,166.52,1.65%,"73,039"
212,ASX,"ASE Technology Holding Co., Ltd.",Technology,Semiconductor - Broad Line,Taiwan,9750000000,11.76,4.54,-0.22%,"415,862"
213,AT,Atlantic Power Corporation,Utilities,Electric Utilities,USA,272000000,9.88,2.47,-1.59%,"359,953"
214,ATEN,"A10 Networks, Inc.",Technology,Communication Equipment,USA,520120000,-,6.90,-0.86%,"219,949"
215,ATGE,Adtalem Global Education Inc.,Services,Education & Training Services,USA,2760000000,20.85,47.66,-0.60%,"243,540"
216,ATH,Athene Holding Ltd.,Financial,Asset Management,Bermuda,7810000000,7.91,41.93,-2.89%,"1,312,073"
217,ATHM,Autohome Inc.,Technology,Internet Information Providers,China,12700000000,30.02,107.61,-2.15%,"757,210"
218,ATI,Allegheny Technologies Incorporated,Industrial Goods,Metal Fabrication,USA,3360000000,16.19,26.76,-0.78%,"1,140,012"
219,ATKR,Atkore International Group Inc.,Industrial Goods,Industrial Electrical Equipment,USA,1060000000,8.29,22.51,-2.30%,"247,037"
221,ATNM,"Actinium Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,70420000,-,0.58,3.32%,"663,411"
222,ATO,Atmos Energy Corporation,Utilities,Gas Utilities,USA,11650000000,25.36,100.58,-0.34%,"430,441"
223,ATR,"AptarGroup, Inc.",Consumer Goods,Packaging & Containers,USA,6780000000,37.05,108.16,-0.76%,"183,397"
224,ATTO,Atento S.A.,Services,Business Services,Luxembourg,296240000,14.92,3.73,-0.80%,"287,553"
225,ATU,Actuant Corporation,Industrial Goods,Diversified Machinery,USA,1550000000,-,25.41,-1.28%,"206,699"
226,ATUS,"Altice USA, Inc.",Technology,Telecom Services - Domestic,USA,15300000000,640.86,22.43,-0.80%,"2,532,758"
227,ATV,"Acorn International, Inc.",Services,Catalog & Mail Order Houses,China,1040000000,3.33,30.52,2.58%,"3,650"
228,AU,AngloGold Ashanti Limited,Basic Materials,Gold,South Africa,5600000000,43.65,13.88,2.06%,"2,544,683"
229,AUG,Auryn Resources Inc.,Basic Materials,Industrial Metals & Minerals,Canada,152670000,11.58,1.69,7.64%,"349,100"
231,AUMN,Golden Minerals Company,Basic Materials,Industrial Metals & Minerals,USA,27910000,-,0.30,0.47%,"72,855"
232,AUO,AU Optronics Corp.,Technology,Semiconductor - Broad Line,Taiwan,3560000000,11.04,3.73,0.54%,"643,374"
234,AUY,Yamana Gold Inc.,Basic Materials,Gold,Canada,2540000000,-,2.67,1.91%,"9,907,897"
235,AVA,Avista Corporation,Utilities,Diversified Utilities,USA,2670000000,19.75,40.89,-0.20%,"439,771"
236,AVAL,Grupo Aval Acciones Y Valores S.A.,Financial,Foreign Regional Banks,Colombia,2970000000,11.12,8.45,3.55%,"267,606"
237,AVB,"AvalonBay Communities, Inc.",Financial,REIT - Residential,USA,27760000000,28.56,200.60,-0.45%,"464,247"
238,AVD,American Vanguard Corporation,Basic Materials,Agricultural Chemicals,USA,513310000,20.58,17.43,-1.69%,"153,246"
239,AVH,Avianca Holdings S.A.,Services,Regional Airlines,Panama,174390000,-,4.29,-0.23%,"68,382"
240,AVK,Advent Claymore Convertible Securities and Income Fund,Financial,Closed-End Fund - Debt,USA,519260000,-,15.04,-0.20%,"94,291"
241,AVLR,"Avalara, Inc.",Technology,Application Software,USA,3790000000,-,55.47,-0.13%,"367,756"
242,AVNS,"Avanos Medical, Inc.",Healthcare,Medical Instruments & Supplies,USA,2100000000,-,44.15,0.27%,"244,040"
243,AVP,"Avon Products, Inc.",Consumer Goods,Personal Products,USA,1250000000,-,2.83,-1.74%,"3,836,406"
244,AVX,AVX Corporation,Technology,Diversified Electronics,USA,3060000000,13.22,18.26,-1.40%,"374,698"
245,AVY,Avery Dennison Corporation,Consumer Goods,Business Equipment,USA,9420000000,21.17,112.62,-1.13%,"471,177"
246,AVYA,Avaya Holdings Corp.,Services,Business Services,USA,2040000000,36.83,18.49,4.17%,"5,806,234"
247,AWF,AllianceBernstein Global High Income Fund,Financial,Closed-End Fund - Debt,USA,1010000000,265.23,11.67,0.00%,"171,488"
248,AWI,"Armstrong World Industries, Inc.",Industrial Goods,General Building Materials,USA,4160000000,23.14,83.97,-0.44%,"733,583"
249,AWK,"American Water Works Company, Inc.",Utilities,Water Utilities,USA,18820000000,32.49,104.57,0.41%,"699,277"
250,AWP,Aberdeen Global Premier Properties Fund,Financial,Closed-End Fund - Foreign,USA,510740000,-,5.98,-0.83%,"213,169"
